"Date","Source","Actor","IOCType","IOCValue","Context","Link"
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tfo21v2zbb3b2m2u.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","tmtmmhismoo8ww4h.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","uajonkw0oop4x45q.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:44 UTC","ThreatFox","Exotic Lily","Domain","v3tvcchonrbwtvw8.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","sg1upflnvfvi11sp.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","r6nclg5byo5zv8of.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","r53hilpf6h4b88r0.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","r686u6oelujdr2lv.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","pzelo55rhqhjba0p.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","q8cem5r66oiitweo.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","qngtmk23fjxew27p.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","pltwl64fxtgsx0q8.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","rysx0hjsl2vpzcc7.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","psk3r0ase4rzb50m.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","qrxdkw2fmmbzda02.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","pz58f4m1i4ljr8uv.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","q8urnetyeo6es5m1.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","regev2znv7dlajow.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","s2s72c9n0k31rrvx.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","rdv2slcujtsiga6c.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","rt642hmhgx3u6hk2.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","rf3dcvusu94bl78k.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","sh2r4y36ka60377l.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","qaz0h1h5ug8mgdgp.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","qdg68nlrgucr6swd.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","scpz5ztq9trm3fey.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","qe2ehp8fqs8ndyd5.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:43 UTC","ThreatFox","Exotic Lily","Domain","s9et2p4175pskvhb.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","mwq84th6aesixtr8.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","mg3luabr3k3mi96a.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","mfhr90cqdq9ydbp0.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","nj77rzyff6jp3ahe.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","n6s11tx9k5z7obni.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","mxfkbjxw8ngh4dtk.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","m4rrefmo0pemjgio.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","lwngj5cw8x7mfwon.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","lqcyrc07p4qbblay.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","me9ves1uohydo9ps.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","mb8p3w1hsbdun26d.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","m6ybn2a9c2upn2pw.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","paphsaj7ulic6nuu.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","p4by2xtgec1l6htd.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","oudl8i83dmqh92sl.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","pdc4bzedgs5yoqjl.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","pchxpdrr4xknnzz0.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","paz2g9np1g0uxfkm.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","o1nxvlndt9056rh0.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","o1nklafvezclxw9j.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","nxye7dmsdbce149s.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","op089w4ltslsdru2.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","od4lqvqv5fqulogb.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:42 UTC","ThreatFox","Exotic Lily","Domain","o9s8mm43ar94f985.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","kgbxugxoeds1aj6l.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","khbilua706wrezbf.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","kclnaj1awwfk8u3f.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","l1x12ux91zhl847t.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","lixml0rmmjdevp3m.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jkcebj7755ehg17i.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","l9edbk5faege7n21.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","l7wgh93czcwqhlyt.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","l2egaugl8qs26f8e.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","ldyjmzcr05iw7m7d.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",""
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jsh8m4u66zwvpra9.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jnwlcco8tc66ktfn.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jzvqrulpebzx23vt.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jzes4jru34lh8xn9.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jtj6ttsd70lpzwq8.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
"2026-03-20 12:55:41 UTC","ThreatFox","Exotic Lily","Domain","jimeauzjab8v5kq9.org","threat=botnet_cc; malware=win.bumblebee (tag=Bumblebee)",
