"IOC","Type","Sources","Max confidence","Last Seen","Detection count"
"dc29f423fffa172bbd40e4c3615744bf","Hash","AlienVault","75","10/21/2025-12:45:50","2"
"f6bdde6ce0fb00b05aafdc8511d1aabb2ec87c29","Hash","AlienVault","75","10/21/2025-12:45:50","2"
"e6816c1c91103a24332760faec70d15b","Hash","AlienVault ,darkfeed","80","10/21/2025-12:45:42","2"
"96c69aa66a0a99f288bf143e8f0614d99c24f074","Hash","AlienVault ,darkfeed","80","10/21/2025-12:45:42","2"
"bce2a7165ceead4e3601e311c72743e0059ec2cd734ce7acf5cc9f7d8795ba0f","Hash","AlienVault ,darkfeed ,ThreatFox","80","10/21/2025-12:45:42","3"
"c4d0fba5aaafa40aef6836ed1414ae3eadc390e1969fdcb3b73c60fe7fb37897","Hash","darkfeed ,AlienVault ,ThreatFox","80","10/21/2025-10:45:08","4"
"d66b8454b6397621e342c1e722d7cb2d796f353e","Hash","AlienVault ,darkfeed","80","10/21/2025-10:45:08","2"
"a4309feb1542cf8fdfeef7990ac78580","Hash","AlienVault ,darkfeed","80","10/21/2025-10:45:08","2"
"f2af2a1728879a62925d8531cacd156ad8fc136665b4d48087c50a5ea11f3a90","Hash","AlienVault","60","08/28/2025-23:18:16","1"
"6ba27d387dadf82aaf6e45840407c15a93e48b22f291642831f29d99b124a6d5","Hash","AlienVault","60","08/28/2025-23:18:03","1"
"6b8171ad88bb079ba02d759cbbfdaad90d211ca4b42fd17a2ac1af6d5e456767","Hash","AlienVault","60","08/28/2025-23:17:48","1"
"02fdbbfbd4287c167c1e3c6d3f9e45f0454587398ecf95cca519a43fa33731e9","Hash","AlienVault","60","08/28/2025-23:17:35","1"
"a35a82e7de7c203114d5836d2fe173e522b10aa9","Hash","AlienVault","60","08/28/2025-23:17:22","1"
"982cb55634ff8066a28a4278336637cee5572994","Hash","AlienVault","60","08/28/2025-23:17:08","1"
"13af3f9653586976039655af76794238c2e4e6e1","Hash","AlienVault","60","08/28/2025-23:16:54","1"
"0ea75a6c0348280c02b93e53836254a7c791e8bd","Hash","AlienVault","60","08/28/2025-23:16:39","1"
"f183fc144edaf0dc4d7b13dc5fbbafe1","Hash","AlienVault","60","08/28/2025-23:16:11","2"
"c494dc2ef2b9c2e318b979da7bc39dee","Hash","AlienVault","60","08/28/2025-23:15:57","2"
"b7833ca9c66b3f191a11ca3fe8f39d0d","Hash","AlienVault","60","08/28/2025-23:15:44","1"
"232f5373df39c477d5b97dd5aa433395","Hash","AlienVault","71","08/18/2025-13:59:28","4"
"8000ba1c3e8a760839707872c5efd133077ab39ef1ff53b818a3ffacea5021d4","Hash","AlienVault","71","07/28/2025-16:05:29","3"
"63b148dd442b363716eea34dc05cb5efb6457e9a","Hash","AlienVault","71","07/28/2025-16:05:29","3"
"21fd97ffb7c3f9f059cdb61a22add4e65564de40","Hash","AlienVault","67","07/28/2025-14:00:09","2"
"1af83daa0a83ff5eb740a5c3c8749de5","Hash","AlienVault","67","07/28/2025-14:00:09","2"
"58bf445f708c392ab82e2cdd45e3633bb5e83252f5eeac897d90eb65b0d16151","Hash","AlienVault","67","07/28/2025-14:00:09","2"
"02c5a09e2b5537c1914273a7e3165c50","Hash","AlienVault","60","07/28/2025-13:59:35","3"
"8ba9b01fe8eb16e6673b7e5341697ec449026ca902d3f16305924d853a339ad8","Hash","AlienVault","60","07/28/2025-13:59:35","3"
"36853d48fad2c447aaea8e2487854d1eb9e9be0b","Hash","AlienVault","60","07/28/2025-13:59:35","3"
"8ec8571a296737e819dcf86353a43fcf8ec63351","Hash","AlienVault","63","07/07/2025-01:31:37","6"
"e7c0005285d1ab59732d5f99f77a9bdd6342b01cf44437ebd7a07611a227e272","Hash","AlienVault","60","06/14/2025-02:09:17","3"
"13f7599c94b9d4b028ce02397717a128","Hash","darkfeed ,AlienVault","70","05/12/2025-09:00:34","4"
"6b85d707c23d68f9518e757cc97adb20","Hash","darkfeed ,AlienVault","70","05/12/2025-09:00:05","4"
"3233668d2e4a80b17e6357177b53539d","Hash","darkfeed ,AlienVault","70","05/12/2025-08:59:36","4"
"6bc411d562456079a8f1e38f3473c33a","Hash","darkfeed ,AlienVault","70","05/12/2025-08:59:05","4"
"4c7accba35edd646584bb5a40ab78f96","Hash","AlienVault ,darkfeed","70","05/10/2025-06:45:22","3"
"28a0596b9c62b7b7aca9cac2a07b0671","Hash","AlienVault ,darkfeed","70","05/09/2025-20:42:48","3"
"f9d31b278e215eb0d0e9cd709edfa037e828f36214ab7906f612160fead4b2b4","Hash","darkfeed ,AlienVault","70","03/27/2025-17:48:18","41"
"5af87dfd673ba2115e2fcf5cfdb727ab","Hash","darkfeed ,AlienVault","70","03/27/2025-17:48:18","41"
"d5b5bbf396dc291274584ef71f444f420b6056f1","Hash","darkfeed ,AlienVault","70","03/27/2025-17:48:18","41"
